,radius,cycles,scorefxn_name,neighbour_only_score,outer_constrained,remove_ligands,single_chain,prevent_acceptance_of_incrementor,MdAE,MdSE,time,MdAE_MAD,time_MAD,MAE,allocation,cutoff10_MAE,cutoff5_MAE,samples,MdAE_se,time_se,condition
cart_12x3,12,3,ref2015_cart,True,False,True,True,False,0.8732276939935943,-0.2986236926368985,130.4698442220688,0.5630480855488771,53.06225001811981,1.4432455474639627,75.37577365163573,2.560252973003205,2.1307998248692943,2262,0.011838568348761621,1.1156792638167274,cart_12x3
full_12x2,12,2,ref2015,False,False,True,True,False,0.8793597672804943,-0.20358650205025242,34.74620699882507,0.5807122395088722,11.065985679626465,1.3297068662886362,75.28735632183908,2.4949236574364533,2.0408590015274655,2262,0.01220997231823715,0.2326718288846804,full_12x2
full_11x1,11,1,ref2015,False,False,True,True,False,0.9110203873187495,-0.33193053693973845,22.587454199790955,0.6002611719806196,5.399888038635254,1.3963706715642343,75.15473032714411,2.7024801000233274,2.175011074448485,2262,0.012621005370567841,0.11353727196981014,full_11x1
full_10x1,10,1,ref2015,False,False,True,True,False,0.8717534538595779,-0.22759373964145363,20.911904215812683,0.6030011464798033,4.509382009506226,1.3733600498491738,75.15473032714411,2.7617527012311425,2.178758952215833,2262,0.012678615681685105,0.09481361983173152,full_10x1
15x3,15,3,ref2015,True,False,True,True,False,0.8951203231641367,-0.26354001081097406,59.15928936004639,0.6073111834197488,23.476688027381897,1.3933729895106406,74.84526967285589,2.6735942920311215,2.1853629259124387,2262,0.012769237900655074,0.4936174777040204,15x3
20x3,15,3,ref2015,True,False,True,True,False,0.8951203231641367,-0.26354001081097406,59.152138352394104,0.6073111834197488,23.35675799846649,1.3933729895106406,74.84526967285589,2.673594292031121,2.1853629259124387,2262,0.012769237900655074,0.49109584610482954,20x3
12x1,12,1,ref2015,True,False,True,True,False,0.8798242614478025,-0.3488828740125143,21.39009189605713,0.6038919365298069,5.4059882164001465,1.3800975656237444,74.84526967285589,2.7720152407004535,2.244123708682879,2262,0.012697345305605385,0.11366553343319631,12x1
incrementor,12,1,ref2015,True,False,True,True,True,0.8847911176924956,-0.35702013993083703,23.879233360290527,0.6103003085486974,6.5234891176223755,1.383941328744863,74.75685234305925,2.7449103327955657,2.229634866576813,2262,0.012832086817204649,0.13716194721822042,incrementor
full_20x5,20,5,ref2015,False,False,True,True,False,0.8899965063123498,-0.32319555081710183,133.32620513439178,0.5900043844337151,60.36043632030487,1.3947775306023944,74.71264367816092,2.5322600944318796,2.110065972686401,2262,0.012405347625644712,1.2691298830052966,full_20x5
full_12x1,12,1,ref2015,False,False,True,True,False,0.9024287152973018,-0.42013557233248183,23.678710460662842,0.6206272205749852,6.350599765777588,1.4029546747824593,74.6684350132626,2.697624646318012,2.1946756169407378,2262,0.01304921898938081,0.13352680048542873,full_12x1
15x1,15,1,ref2015,True,False,True,True,False,0.9071672041613968,-0.4958799884520396,29.293501138687134,0.6421324021672534,9.356691241264343,1.4279047739519153,74.62422634836427,2.946182364393219,2.4069118615957534,2262,0.013501383855343215,0.19673244900563902,15x1
cart_12x1,12,1,ref2015_cart,True,False,True,True,False,0.9136516281943878,-0.39908592146033184,59.8796569108963,0.5943603971353499,22.2942852973938,1.4642171871062597,74.58001768346595,2.6920487133421585,2.2349895112789584,2262,0.012496936524390557,0.4687564473693186,cart_12x1
