condition,correct_allocation,time,time_MAD,time_se,MdAE,MdSE,MAE,cutoff10_MAD,cutoff5_MAD,MdAE_MAD,MdAE_se,samples
talaris2014_12x1,69.54022988505747,19.25845229625702,4.900908589363098,0.10304580158486545,0.8818034320222712,-0.35357662301562065,1.3879628444331589,2.435277947551387,2.0410760074927365,0.5768493486256019,0.012128751728168323,2262
talaris2014_12x3,67.77188328912467,34.59082114696503,11.98971676826477,0.25209406636207127,0.8242313824829601,-0.22257613378651886,1.3130089534417464,2.254837955106282,1.905598361642919,0.5206042170044654,0.010946149651948109,2262
full_12x1,67.10875331564988,23.678710460662842,6.350599765777588,0.13352680048542873,0.9599986920410004,-0.2628425465254747,1.4913991175537415,2.697624646318012,2.1946756169407378,0.6315768118167849,0.013279443525497796,2262
talaris2014_9x1,66.74038036267137,15.303712129592896,2.984978199005127,0.0627756014565297,0.8268004470455641,-0.12323737746294781,1.3584064164257714,2.421642106352656,1.9510738008416115,0.5397249288715478,0.011350688270449218,2261
talaris2014_9x3,66.22458001768346,24.44180738925934,6.793323278427124,0.14283544160974063,0.7983179087237559,-0.0923340667888064,1.2791825006661124,2.350637906667026,1.9081088440111338,0.5235117889297545,0.011007283842526024,2262
incr_12x2,66.03272888102609,32.77572703361511,10.492968797683716,0.2206724416140579,0.8785535748141369,-0.1240011549314126,1.397745804534426,2.461807558088272,2.0197637952458156,0.5700266492666775,0.011987948778283363,2261
full_12x2,66.00353669319186,34.74620699882507,11.065985679626465,0.2326718288846804,0.8793021544028867,-0.10003601259215676,1.3690551593972466,2.4949236574364533,2.0408590015274655,0.5586788651653332,0.011746701747188927,2262
full_20x5,65.82670203359858,133.32620513439178,60.36043632030487,1.2691298830052966,0.9226599602081433,-0.2240322113254859,1.4570180213717747,2.5322600944318796,2.110065972686401,0.5921458960887093,0.012450374742773801,2262
full_12x4,65.73828470380194,54.89669954776764,20.070807218551636,0.4220059159601125,0.8722773870670224,-0.05657122076216227,1.3786835073110004,2.465747822499102,2.016473331354992,0.5350250805247809,0.011249360661478483,2262
incr_12x3,65.69407603890363,43.933032274246216,15.85746955871582,0.33341688219445614,0.8707637153568687,-0.05724162702496459,1.3867543243058211,2.448125924844702,2.0094617712196987,0.5632988450375593,0.011843840781830942,2262
full_11x1,65.51724137931035,22.587454199790955,5.399888038635254,0.11353727196981014,0.9480769864475911,-0.16011187311184175,1.481335485743967,2.7024801000233274,2.175011074448485,0.6152528083788601,0.012936217368824332,2262
full_12x3,65.47303271441203,38.72481167316437,13.357950568199158,0.2808623541395154,0.8625503586765148,-0.04352392830847872,1.3484932131075473,2.477509092117397,2.017238872189971,0.5503930490215747,0.011572485364501943,2262
cart_12x1,65.34040671971707,59.8796569108963,22.2942852973938,0.4687564473693186,0.9742258744123811,-0.21756502606919703,1.5730923653937448,2.6920487133421585,2.2349895112789584,0.6201006630429042,0.013038147666179311,2262
15x1,65.34040671971707,29.293501138687134,9.356691241264343,0.19673244900563902,1.038159111644545,-0.34411505843963,1.5673854734795925,2.946182364393219,2.4069118615957534,0.7099984782357738,0.014928326243960375,2262
cart_12x3,64.9867374005305,130.4698442220688,53.06225001811981,1.1156792638167274,0.893531795157179,-0.17564754903496682,1.5118124871948968,2.560252973003205,2.1307998248692943,0.5939758553571421,0.01248885120407581,2262
incrementor,64.63306808134395,23.879233360290527,6.5234891176223755,0.13716194721822042,0.957408859264185,-0.22368510940690567,1.4773369529646445,2.7449103327955657,2.229634866576813,0.6229249394742309,0.01309753049763937,2262
con_12x1,64.54465075154731,27.04820728302002,8.106566786766052,0.17044751139749645,0.8782729206763804,-0.036909583982341204,1.4621904771133687,2.740884779023934,2.125399948368406,0.5782567716465591,0.012158344002890259,2262
12x1,64.45623342175067,21.39009189605713,5.4059882164001465,0.11366553343319631,0.9570123267467112,-0.21233336161580216,1.4755185154826191,2.7720152407004535,2.244123708682879,0.6213967042011486,0.013065398041819479,2262
12x1,64.45623342175067,23.432003498077393,6.363165736198425,0.13379101077849914,0.957408859264185,-0.21233336161580216,1.4759694438645818,2.7712283264652635,2.2433367944476887,0.6222287007572112,0.01308289148216264,2262
12x2,63.793103448275865,30.259438037872314,9.459968090057373,0.19890393322636793,0.8746529075366458,-0.0786433279640987,1.3834524210271038,2.5917077891044604,2.1138784260601313,0.5718387363027585,0.012023399311606417,2262
full_con_12x3,63.395225464190986,47.39024257659912,18.96540129184723,0.3987638093758068,0.8512596432628534,0.037248063529516456,1.403536578824486,2.625373135286866,2.0756244611264547,0.5501976744249037,0.011568377446234098,2262
12x3,63.35101679929266,43.57836210727692,15.514903903007507,0.32621414581522173,0.8672905259836916,-0.036207706989810684,1.37862121282207,2.5632779849836176,2.087362760825833,0.5566012998754748,0.011703019157168171,2262
full_10x1,63.306808134394345,20.911904215812683,4.509382009506226,0.09481361983173152,0.9133724895900437,-0.05519986522107352,1.4513400193865322,2.7617527012311425,2.178758952215833,0.6072541207758743,0.012768038109683383,2262
con_12x3,63.17418213969938,47.532362937927246,19.07352352142334,0.4010371718784241,0.8579483344733186,0.053376902658995,1.4089091277600925,2.6586337910622664,2.0800809752411786,0.5607332512267327,0.011789896974074234,2262
cart_extra,63.12997347480106,139.97695875167847,66.30247795581818,1.3940663987997457,0.8330242646574172,-0.06907283875060813,1.290600525358992,2.479068854050669,2.035540500954802,0.5389621592640443,0.011332141114774564,2262
